ranking,player_name,elo,division,lp,winrate,games_played,top3,avgrank,avgkills
1,Liperrrr,Titan,1,7303,27.1,59,47.5,3.7,3.88
2,MartinH,Titan,1,7202,15.7,70,45.7,4.1,4.47
3,TTVKermitOSapo07,Mythril,1,7148,25.4,67,47.8,3.9,3.43
4,hortela,Mythril,1,7101,20.0,55,56.4,3.5,3.95
5,venecyclonado,Mythril,1,7076,16.9,83,41.0,4.2,3.94
6,Watafak,Mythril,1,7027,16.7,90,41.1,4.3,3.59
7,Dvirk,Mythril,1,7015,12.6,111,40.5,4.4,3.71
8,Daaru,Diamond,1,6675,8.1,111,36.9,4.4,2.95
9,sethzzzzzzzzzzzz,Diamond,1,6620,15.2,66,37.9,4.3,3.36
10,SAIDOMETEORITO,Diamond,1,6543,10.5,124,32.3,4.4,2.63
11,ctz,Diamond,1,6522,50.0,14,64.3,2.7,5.93
12,PoPiPo,Diamond,1,6497,17.6,51,58.8,3.6,3.10
13,Leon,Diamond,1,6477,12.4,113,38.1,4.3,3.58
14,Yinian,Diamond,1,6443,18.5,54,40.7,4.1,1.20
15,PekoyamaPeko,Diamond,1,6431,11.9,135,38.5,4.4,1.74
16,kademinhario,Diamond,1,6417,10.5,57,42.1,4.0,3.40
17,Meia,Diamond,1,6407,14.1,99,41.4,4.2,1.63
18,Incapacitada,Diamond,2,6249,10.3,29,44.8,4.0,5.21
19,Undedi,Diamond,2,6170,12.9,85,38.8,4.4,3.02
20,Lume222,Diamond,2,6137,17.9,39,46.2,3.9,2.31
21,Barbara,Diamond,3,5947,13.2,53,49.1,4.0,3.26
22,Vidro,Diamond,3,5858,7.3,55,27.3,4.5,3.22
23,KonKon,Diamond,3,5757,18.8,48,37.5,4.6,2.67
24,Alicate,Diamond,3,5736,5.5,109,39.4,4.2,2.45
25,MaiMetaleira,Diamond,3,5723,12.3,138,31.9,4.6,1.01
26,Banana,Diamond,3,5658,4.8,83,33.7,4.6,3.06
27,Nostradamus,Diamond,3,5638,10.5,86,40.7,4.3,1.16
28,moodhz,Diamond,3,5637,21.3,61,47.5,4.0,3.84
29,Adevo,Diamond,4,5457,12.0,25,72.0,3.0,3.16
30,大精霊月神,Diamond,4,5404,9.4,53,43.4,4.3,2.42
31,farmeer,Diamond,4,5349,25.0,4,75.0,3.0,2.75
32,TTVShin7,Diamond,4,5317,10.6,151,27.2,4.7,1.13
33,CatWitch,Diamond,4,5266,4.3,69,33.3,4.8,1.54
34,boboboots,Platinum,1,5187,11.2,116,34.5,4.6,2.45
35,Anolara,Platinum,1,5051,16.4,73,43.8,4.2,2.79
36,Amaddiny,Platinum,2,4843,8.1,74,24.3,5.1,1.09
37,AraragiAriel,Platinum,2,4815,15.7,70,37.1,4.2,2.50
38,Nashrah,Platinum,2,4618,10.3,117,41.9,4.3,2.84
39,PilotoDeFusca,Platinum,2,4528,11.9,67,32.8,4.5,2.46
40,figodTTV,Platinum,2,4518,15.6,122,37.7,4.5,3.47
41,ChapadoDeTinta,Platinum,3,4384,18.5,81,38.3,4.3,2.46
42,Beelzebumon,Platinum,3,4372,7.4,27,33.3,4.4,2.67
43,Ego,Platinum,4,3973,7.0,43,39.5,4.7,2.14
44,Beomgyu,Platinum,4,3961,26.2,42,42.9,3.6,5.00
45,TwTvZaroiLoL,Platinum,4,3901,6.0,166,33.7,4.6,2.22
46,BookOfBremen,Platinum,4,3900,22.2,18,50.0,3.8,2.39
47,CLThanos,Platinum,4,3823,15.1,73,45.2,4.0,3.75
48,Duknown,Gold,1,3743,25.8,66,54.5,3.9,3.97
49,코토네,Gold,1,3701,24.4,41,41.5,3.7,3.44
50,luciezinha,Gold,1,3660,25.8,31,41.9,4.2,2.42
51,Yupelli,Gold,1,3631,0.0,4,50.0,4.8,2.75
52,Byga,Gold,1,3534,15.8,95,40.0,4.3,1.57
53,zSilence,Gold,1,3533,0.0,7,28.6,4.6,0.86
54,Killjoy,Gold,2,3494,34.1,41,51.2,3.4,4.17
54,Emmaツ,Gold,2,3494,34.1,41,51.2,3.4,4.90
54,Amy,Gold,2,3494,34.1,41,51.2,3.4,3.51
57,thhh,Gold,2,3483,10.9,55,49.1,4.1,3.65
58,Sked,Gold,2,3465,5.9,17,29.4,4.9,3.94
59,FS三玖,Gold,2,3444,17.4,69,37.7,4.4,2.70
60,0Musketeer,Gold,2,3441,15.4,91,40.7,4.4,2.96
61,Hyninn,Gold,2,3418,13.5,74,50.0,3.9,3.01
62,Zakiry,Gold,2,3384,0.0,7,14.3,5.6,0.29
63,ToninhoMalvadeza,Gold,2,3332,17.0,100,35.0,4.4,1.63
64,Vladhytor,Gold,2,3331,14.0,57,22.8,5.1,3.88
65,depravado,Gold,2,3318,23.7,59,52.5,3.9,3.64
66,Yiniann,Gold,2,3284,16.7,42,47.6,4.0,3.55
67,Lukiinhas,Gold,2,3282,6.4,141,33.3,4.8,1.87
68,Disturbed,Gold,2,3244,5.7,35,40.0,4.4,3.74
69,Sapinto,Gold,2,3214,26.7,15,60.0,3.5,3.60
70,Forgzz,Gold,3,3128,12.0,50,42.0,4.1,1.38
71,littleduzz,Gold,3,3099,15.4,39,53.8,4.0,2.54
72,Darkthe,Gold,3,3048,31.6,38,63.2,3.6,2.55
73,Coalty,Gold,3,3002,6.4,78,29.5,4.7,1.85
74,Golkros,Gold,3,2943,0.0,2,50.0,5.5,1.50
75,Xiutu,Gold,3,2937,23.1,13,53.8,3.5,6.38
76,Lololasendro,Gold,4,2886,18.2,22,22.7,4.9,3.82
77,Apotheosis,Gold,4,2837,6.3,16,25.0,4.9,0.88
78,Luminiera,Gold,4,2813,7.1,112,40.2,4.6,1.85
79,AzzaryoSeu,Gold,4,2811,11.0,82,34.1,4.5,2.12
80,lagp983,Gold,4,2809,10.3,68,39.7,4.5,2.01
81,Shur4,Gold,4,2780,22.2,9,66.7,3.0,4.00
82,Drunk,Gold,4,2774,5.0,60,35.0,4.6,4.25
83,Zehel,Gold,4,2749,9.7,103,30.1,4.9,1.71
84,ttvsadSnorlax,Gold,4,2739,14.6,48,37.5,4.5,2.23
85,italo,Gold,4,2734,21.4,14,64.3,3.6,3.43
86,Elena,Gold,4,2692,36.4,22,45.5,4.0,4.41
87,Luscnir,Gold,4,2687,0.0,34,35.3,4.9,1.53
88,Chromacy,Gold,4,2650,7.1,14,50.0,4.2,1.07
89,Gasai,Silver,1,2544,13.3,30,40.0,4.2,2.07
90,Juwulia,Silver,1,2488,3.8,26,34.6,4.9,0.65
91,TedVille,Silver,1,2485,15.9,44,36.4,4.4,2.27
92,spyderrulezz,Silver,1,2477,15.9,44,45.5,4.4,2.07
93,Adriana,Silver,1,2456,11.1,9,22.2,5.3,1.22
93,abacaxi59,Silver,1,2456,0.0,22,36.4,4.5,3.05
95,Muxi,Silver,1,2452,7.4,27,48.1,3.9,1.67
95,BordelDeLumia22,Silver,1,2452,24.2,33,33.3,4.1,3.18
97,Krowsea,Silver,1,2450,0.0,19,31.6,5.1,1.00
98,Buddh4,Silver,1,2370,2.1,48,33.3,4.7,1.94
99,PollerasLocas,Silver,2,2338,13.2,53,37.7,4.5,2.21
100,Keiuzami,Silver,2,2237,16.7,6,50.0,3.8,6.00
